ID Aluno,Academia,Cidade,Esporte,Status Civil,Data Check-in,Duração (Min)
3036,Fitness Up,Setubal,Musculação,Solteiro(a),2024-04-10,10
6087,Fitness Up,Gondomar,Yoga,Divorciado(a),2023-09-01,76
6202,Fitness Up,Espinho,Musculação,Solteiro(a),2023-04-06,37
6986,Fitness Up,Espinho,Ciclyn,Solteiro(a),2024-01-05,10
6585,Fitness Up,Matosinhos,Musculação,Viúvo(a),2023-05-19,77
481,Fitness Up,Matosinhos,Musculação,Casado(a),2023-05-08,77
7793,Fitness Up,Matosinhos,Musculação,Solteiro(a),2023-03-24,94
8376,Fitness Up,Espinho,Ciclyn,Solteiro(a),2024-05-22,8
1132,Fitness Up,Matosinhos,Yoga,Viúvo(a),2023-09-16,22
9268,Fitness Up,Matosinhos,Yoga,Viúvo(a),2023-02-12,50
4066,Fitness Up,Matosinhos,Ciclyn,Viúvo(a),2023-05-22,61
66,Fitness Up,Gondomar,Ciclyn,Casado(a),2024-05-07,37
3073,Fitness Up,Matosinhos,Yoga,Viúvo(a),2024-05-05,37
6986,Fitness Up,Matosinhos,Musculação,Casado(a),2023-11-09,29
6386,Fitness Up,Matosinhos,Yoga,Viúvo(a),2023-08-11,6
4750,Fitness Up,Matosinhos,Yoga,Viúvo(a),2024-01-20,43
3096,Fitness Up,Espinho,Musculação,Divorciado(a),2023-08-08,68
5079,Fitness Up,Gondomar,Musculação,Solteiro(a),2024-04-12,105
8849,Fitness Up,Setubal,Musculação,Solteiro(a),2024-06-11,94
4681,Fitness Up,Setubal,Musculação,Casado(a),2023-05-26,37
7964,Fitness Up,Setubal,Yoga,Viúvo(a),2023-12-31,29
6576,Fitness Up,Espinho,Ciclyn,Casado(a),2024-06-09,18
6097,Fitness Up,Matosinhos,Yoga,Solteiro(a),2023-08-14,98
8551,Fitness Up,Espinho,Ciclyn,Solteiro(a),2023-01-28,105
7403,Fitness Up,Matosinhos,Musculação,Casado(a),2024-03-29,53
4424,Fitness Up,Gondomar,Yoga,Divorciado(a),2023-12-18,45
8191,Fitness Up,Gondomar,Ciclyn,Divorciado(a),2023-11-10,94
9184,Fitness Up,Espinho,Yoga,Viúvo(a),2024-03-14,19
3005,Fitness Up,Matosinhos,Yoga,Casado(a),2023-09-17,27
8227,Fitness Up,Matosinhos,Yoga,Viúvo(a),2023-12-28,87
4443,Fitness Up,Espinho,Musculação,Casado(a),2023-12-15,64
455,Fitness Up,Matosinhos,Musculação,Casado(a),2023-03-20,116
6762,Fitness Up,Espinho,Ciclyn,Casado(a),2023-05-29,15
8795,Fitness Up,Gondomar,Ciclyn,Viúvo(a),2024-01-23,89
2311,Fitness Up,Gondomar,Ciclyn,Solteiro(a),2024-05-04,46
6762,Fitness Up,Espinho,Yoga,Divorciado(a),2023-03-30,80
3909,Fitness Up,Matosinhos,Yoga,Casado(a),2024-01-10,30
7226,Fitness Up,Matosinhos,Musculação,Divorciado(a),2023-01-18,44
9967,Fitness Up,Matosinhos,Ciclyn,Divorciado(a),2023-02-26,15
9192,Fitness Up,Matosinhos,Musculação,Divorciado(a),2023-03-21,11
2578,Fitness Up,Espinho,Yoga,Casado(a),2023-05-12,4
9909,Fitness Up,Setubal,Yoga,Viúvo(a),2023-06-29,30
