Data,Empregado,Tarefa,Tarefa Realizada
2024-01-01,Empregado 1,Checar e-mails,Sim
2024-01-01,Empregado 2,Checar e-mails,Não
2024-01-01,Empregado 3,Checar e-mails,Sim
2024-01-01,Empregado 1,Participar de reunião,Sim
2024-01-01,Empregado 2,Participar de reunião,Não
2024-01-01,Empregado 3,Participar de reunião,Sim
2024-01-01,Empregado 1,Revisar documentos,Sim
2024-01-01,Empregado 2,Revisar documentos,Não
2024-01-01,Empregado 3,Revisar documentos,Sim
2024-01-02,Empregado 1,Checar e-mails,Sim
2024-01-02,Empregado 2,Checar e-mails,Sim
2024-01-02,Empregado 3,Checar e-mails,Não
2024-01-02,Empregado 1,Participar de reunião,Sim
2024-01-02,Empregado 2,Participar de reunião,Sim
2024-01-02,Empregado 3,Participar de reunião,Não
2024-01-02,Empregado 1,Revisar documentos,Sim
2024-01-02,Empregado 2,Revisar documentos,Sim
2024-01-02,Empregado 3,Revisar documentos,Não
2024-01-03,Empregado 1,Checar e-mails,Sim
2024-01-03,Empregado 2,Checar e-mails,Não
2024-01-03,Empregado 3,Checar e-mails,Sim
2024-01-03,Empregado 1,Participar de reunião,Sim
2024-01-03,Empregado 2,Participar de reunião,Não
2024-01-03,Empregado 3,Participar de reunião,Sim
2024-01-03,Empregado 1,Revisar documentos,Sim
2024-01-03,Empregado 2,Revisar documentos,Não
2024-01-03,Empregado 3,Revisar documentos,Sim
2024-01-04,Empregado 1,Checar e-mails,Sim
2024-01-04,Empregado 2,Checar e-mails,Sim
2024-01-04,Empregado 3,Checar e-mails,Não
2024-01-04,Empregado 1,Participar de reunião,Sim
2024-01-04,Empregado 2,Participar de reunião,Sim
2024-01-04,Empregado 3,Participar de reunião,Não
2024-01-04,Empregado 1,Revisar documentos,Sim
2024-01-04,Empregado 2,Revisar documentos,Sim
2024-01-04,Empregado 3,Revisar documentos,Não
2024-01-05,Empregado 1,Checar e-mails,Sim
2024-01-05,Empregado 2,Checar e-mails,Não
2024-01-05,Empregado 3,Checar e-mails,Sim
2024-01-05,Empregado 1,Participar de reunião,Sim
2024-01-05,Empregado 2,Participar de reunião,Não
2024-01-05,Empregado 3,Participar de reunião,Sim
2024-01-05,Empregado 1,Revisar documentos,Sim
2024-01-05,Empregado 2,Revisar documentos,Não
2024-01-05,Empregado 3,Revisar documentos,Sim
2024-01-06,Empregado 1,Checar e-mails,Sim
2024-01-06,Empregado 2,Checar e-mails,Sim
2024-01-06,Empregado 3,Checar e-mails,Não
2024-01-06,Empregado 1,Participar de reunião,Sim
2024-01-06,Empregado 2,Participar de reunião,Sim
2024-01-06,Empregado 3,Participar de reunião,Não
2024-01-06,Empregado 1,Revisar documentos,Sim
2024-01-06,Empregado 2,Revisar documentos,Sim
2024-01-06,Empregado 3,Revisar documentos,Não
2024-01-07,Empregado 1,Checar e-mails,Sim
2024-01-07,Empregado 2,Checar e-mails,Não
2024-01-07,Empregado 3,Checar e-mails,Sim
2024-01-07,Empregado 1,Participar de reunião,Sim
2024-01-07,Empregado 2,Participar de reunião,Não
2024-01-07,Empregado 3,Participar de reunião,Sim
2024-01-07,Empregado 1,Revisar documentos,Sim
2024-01-07,Empregado 2,Revisar documentos,Não
2024-01-07,Empregado 3,Revisar documentos,Sim
2024-01-08,Empregado 1,Checar e-mails,Sim
2024-01-08,Empregado 2,Checar e-mails,Sim
2024-01-08,Empregado 3,Checar e-mails,Não
2024-01-08,Empregado 1,Participar de reunião,Sim
2024-01-08,Empregado 2,Participar de reunião,Sim
2024-01-08,Empregado 3,Participar de reunião,Não
2024-01-08,Empregado 1,Revisar documentos,Sim
2024-01-08,Empregado 2,Revisar documentos,Sim
2024-01-08,Empregado 3,Revisar documentos,Não
2024-01-09,Empregado 1,Checar e-mails,Sim
2024-01-09,Empregado 2,Checar e-mails,Não
2024-01-09,Empregado 3,Checar e-mails,Sim
2024-01-09,Empregado 1,Participar de reunião,Sim
2024-01-09,Empregado 2,Participar de reunião,Não
2024-01-09,Empregado 3,Participar de reunião,Sim
2024-01-09,Empregado 1,Revisar documentos,Sim
2024-01-09,Empregado 2,Revisar documentos,Não
2024-01-09,Empregado 3,Revisar documentos,Sim
2024-01-10,Empregado 1,Checar e-mails,Sim
2024-01-10,Empregado 2,Checar e-mails,Sim
2024-01-10,Empregado 3,Checar e-mails,Não
2024-01-10,Empregado 1,Participar de reunião,Sim
2024-01-10,Empregado 2,Participar de reunião,Sim
2024-01-10,Empregado 3,Participar de reunião,Não
2024-01-10,Empregado 1,Revisar documentos,Sim
2024-01-10,Empregado 2,Revisar documentos,Sim
2024-01-10,Empregado 3,Revisar documentos,Não
2024-01-11,Empregado 1,Checar e-mails,Sim
2024-01-11,Empregado 2,Checar e-mails,Não
2024-01-11,Empregado 3,Checar e-mails,Sim
2024-01-11,Empregado 1,Participar de reunião,Sim
2024-01-11,Empregado 2,Participar de reunião,Não
2024-01-11,Empregado 3,Participar de reunião,Sim
2024-01-11,Empregado 1,Revisar documentos,Sim
2024-01-11,Empregado 2,Revisar documentos,Não
2024-01-11,Empregado 3,Revisar documentos,Sim
2024-01-12,Empregado 1,Checar e-mails,Sim
2024-01-12,Empregado 2,Checar e-mails,Sim
2024-01-12,Empregado 3,Checar e-mails,Não
2024-01-12,Empregado 1,Participar de reunião,Sim
2024-01-12,Empregado 2,Participar de reunião,Sim
2024-01-12,Empregado 3,Participar de reunião,Não
2024-01-12,Empregado 1,Revisar documentos,Sim
2024-01-12,Empregado 2,Revisar documentos,Sim
2024-01-12,Empregado 3,Revisar documentos,Não
2024-01-13,Empregado 1,Checar e-mails,Sim
2024-01-13,Empregado 2,Checar e-mails,Não
2024-01-13,Empregado 3,Checar e-mails,Sim
2024-01-13,Empregado 1,Participar de reunião,Sim
2024-01-13,Empregado 2,Participar de reunião,Não
2024-01-13,Empregado 3,Participar de reunião,Sim
2024-01-13,Empregado 1,Revisar documentos,Sim
2024-01-13,Empregado 2,Revisar documentos,Não
2024-01-13,Empregado 3,Revisar documentos,Sim
2024-01-14,Empregado 1,Checar e-mails,Sim
2024-01-14,Empregado 2,Checar e-mails,Sim
2024-01-14,Empregado 3,Checar e-mails,Não
2024-01-14,Empregado 1,Participar de reunião,Sim
2024-01-14,Empregado 2,Participar de reunião,Sim
2024-01-14,Empregado 3,Participar de reunião,Não
2024-01-14,Empregado 1,Revisar documentos,Sim
2024-01-14,Empregado 2,Revisar documentos,Sim
2024-01-14,Empregado 3,Revisar documentos,Não
2024-01-15,Empregado 1,Checar e-mails,Sim
2024-01-15,Empregado 2,Checar e-mails,Não
2024-01-15,Empregado 3,Checar e-mails,Sim
2024-01-15,Empregado 1,Participar de reunião,Sim
2024-01-15,Empregado 2,Participar de reunião,Não
2024-01-15,Empregado 3,Participar de reunião,Sim
2024-01-15,Empregado 1,Revisar documentos,Sim
2024-01-15,Empregado 2,Revisar documentos,Não
2024-01-15,Empregado 3,Revisar documentos,Sim
2024-01-16,Empregado 1,Checar e-mails,Sim
2024-01-16,Empregado 2,Checar e-mails,Sim
2024-01-16,Empregado 3,Checar e-mails,Não
2024-01-16,Empregado 1,Participar de reunião,Sim
2024-01-16,Empregado 2,Participar de reunião,Sim
2024-01-16,Empregado 3,Participar de reunião,Não
2024-01-16,Empregado 1,Revisar documentos,Sim
2024-01-16,Empregado 2,Revisar documentos,Sim
2024-01-16,Empregado 3,Revisar documentos,Não
2024-01-17,Empregado 1,Checar e-mails,Sim
2024-01-17,Empregado 2,Checar e-mails,Não
2024-01-17,Empregado 3,Checar e-mails,Sim
2024-01-17,Empregado 1,Participar de reunião,Sim
2024-01-17,Empregado 2,Participar de reunião,Não
2024-01-17,Empregado 3,Participar de reunião,Sim
2024-01-17,Empregado 1,Revisar documentos,Sim
2024-01-17,Empregado 2,Revisar documentos,Não
2024-01-17,Empregado 3,Revisar documentos,Sim
2024-01-18,Empregado 1,Checar e-mails,Sim
2024-01-18,Empregado 2,Checar e-mails,Sim
2024-01-18,Empregado 3,Checar e-mails,Não
2024-01-18,Empregado 1,Participar de reunião,Sim
2024-01-18,Empregado 2,Participar de reunião,Sim
2024-01-18,Empregado 3,Participar de reunião,Não
2024-01-18,Empregado 1,Revisar documentos,Sim
2024-01-18,Empregado 2,Revisar documentos,Sim
2024-01-18,Empregado 3,Revisar documentos,Não
2024-01-19,Empregado 1,Checar e-mails,Sim
2024-01-19,Empregado 2,Checar e-mails,Não
2024-01-19,Empregado 3,Checar e-mails,Sim
2024-01-19,Empregado 1,Participar de reunião,Sim
2024-01-19,Empregado 2,Participar de reunião,Não
2024-01-19,Empregado 3,Participar de reunião,Sim
2024-01-19,Empregado 1,Revisar documentos,Sim
2024-01-19,Empregado 2,Revisar documentos,Não
2024-01-19,Empregado 3,Revisar documentos,Sim
2024-01-20,Empregado 1,Checar e-mails,Sim
2024-01-20,Empregado 2,Checar e-mails,Sim
2024-01-20,Empregado 3,Checar e-mails,Não
2024-01-20,Empregado 1,Participar de reunião,Sim
2024-01-20,Empregado 2,Participar de reunião,Sim
2024-01-20,Empregado 3,Participar de reunião,Não
2024-01-20,Empregado 1,Revisar documentos,Sim
2024-01-20,Empregado 2,Revisar documentos,Sim
2024-01-20,Empregado 3,Revisar documentos,Não
2024-01-21,Empregado 1,Checar e-mails,Sim
2024-01-21,Empregado 2,Checar e-mails,Não
2024-01-21,Empregado 3,Checar e-mails,Sim
2024-01-21,Empregado 1,Participar de reunião,Sim
2024-01-21,Empregado 2,Participar de reunião,Não
2024-01-21,Empregado 3,Participar de reunião,Sim
2024-01-21,Empregado 1,Revisar documentos,Sim
2024-01-21,Empregado 2,Revisar documentos,Não
2024-01-21,Empregado 3,Revisar documentos,Sim
2024-01-22,Empregado 1,Checar e-mails,Sim
2024-01-22,Empregado 2,Checar e-mails,Sim
2024-01-22,Empregado 3,Checar e-mails,Não
2024-01-22,Empregado 1,Participar de reunião,Sim
2024-01-22,Empregado 2,Participar de reunião,Sim
2024-01-22,Empregado 3,Participar de reunião,Não
2024-01-22,Empregado 1,Revisar documentos,Sim
2024-01-22,Empregado 2,Revisar documentos,Sim
2024-01-22,Empregado 3,Revisar documentos,Não
2024-01-23,Empregado 1,Checar e-mails,Sim
2024-01-23,Empregado 2,Checar e-mails,Não
2024-01-23,Empregado 3,Checar e-mails,Sim
2024-01-23,Empregado 1,Participar de reunião,Sim
2024-01-23,Empregado 2,Participar de reunião,Não
2024-01-23,Empregado 3,Participar de reunião,Sim
2024-01-23,Empregado 1,Revisar documentos,Sim
2024-01-23,Empregado 2,Revisar documentos,Não
2024-01-23,Empregado 3,Revisar documentos,Sim
2024-01-24,Empregado 1,Checar e-mails,Sim
2024-01-24,Empregado 2,Checar e-mails,Sim
2024-01-24,Empregado 3,Checar e-mails,Não
2024-01-24,Empregado 1,Participar de reunião,Sim
2024-01-24,Empregado 2,Participar de reunião,Sim
2024-01-24,Empregado 3,Participar de reunião,Não
2024-01-24,Empregado 1,Revisar documentos,Sim
2024-01-24,Empregado 2,Revisar documentos,Sim
2024-01-24,Empregado 3,Revisar documentos,Não
2024-01-25,Empregado 1,Checar e-mails,Sim
2024-01-25,Empregado 2,Checar e-mails,Não
2024-01-25,Empregado 3,Checar e-mails,Sim
2024-01-25,Empregado 1,Participar de reunião,Sim
2024-01-25,Empregado 2,Participar de reunião,Não
2024-01-25,Empregado 3,Participar de reunião,Sim
2024-01-25,Empregado 1,Revisar documentos,Sim
2024-01-25,Empregado 2,Revisar documentos,Não
2024-01-25,Empregado 3,Revisar documentos,Sim
2024-01-26,Empregado 1,Checar e-mails,Sim
2024-01-26,Empregado 2,Checar e-mails,Sim
2024-01-26,Empregado 3,Checar e-mails,Não
2024-01-26,Empregado 1,Participar de reunião,Sim
2024-01-26,Empregado 2,Participar de reunião,Sim
2024-01-26,Empregado 3,Participar de reunião,Não
2024-01-26,Empregado 1,Revisar documentos,Sim
2024-01-26,Empregado 2,Revisar documentos,Sim
2024-01-26,Empregado 3,Revisar documentos,Não
2024-01-27,Empregado 1,Checar e-mails,Sim
2024-01-27,Empregado 2,Checar e-mails,Não
2024-01-27,Empregado 3,Checar e-mails,Sim
2024-01-27,Empregado 1,Participar de reunião,Sim
2024-01-27,Empregado 2,Participar de reunião,Não
2024-01-27,Empregado 3,Participar de reunião,Sim
2024-01-27,Empregado 1,Revisar documentos,Sim
2024-01-27,Empregado 2,Revisar documentos,Não
2024-01-27,Empregado 3,Revisar documentos,Sim
2024-01-28,Empregado 1,Checar e-mails,Sim
2024-01-28,Empregado 2,Checar e-mails,Sim
2024-01-28,Empregado 3,Checar e-mails,Não
2024-01-28,Empregado 1,Participar de reunião,Sim
2024-01-28,Empregado 2,Participar de reunião,Sim
2024-01-28,Empregado 3,Participar de reunião,Não
2024-01-28,Empregado 1,Revisar documentos,Sim
2024-01-28,Empregado 2,Revisar documentos,Sim
2024-01-28,Empregado 3,Revisar documentos,Não
